Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_short,EMA_long,MACD,Signal
2024-07-29 00:00:00-04:00,216.70916725528429,219.04645819403996,215.50055949707524,217.98768615722656,36311800,0.0,0.0,,,217.98768615722656,217.98768615722656,0.0,0.0
2024-07-30 00:00:00-04:00,218.93659134819188,220.07527275577738,215.87013333691414,218.5470428466797,41643800,0.0,0.0,,,218.07374103252704,218.02911998607493,0.044621046452107294,0.008924209290421458
2024-07-31 00:00:00-04:00,221.1839827384757,223.56123595882272,220.3749216653048,221.8232421875,50036300,0.0,0.0,,,218.65058736406135,218.3101660750694,0.340421288991962,0.07522362523072956
2024-08-01 00:00:00-04:00,224.110590003871,224.22046343714268,216.7690968426558,218.1075439453125,62501000,0.0,0.0,,,218.56704222271537,218.2951570284207,0.2718851942946685,0.11455593904351735
2024-08-02 00:00:00-04:00,218.89661861998934,225.3391734979224,217.45829631147987,219.60580444335938,105568600,0.0,0.0,219.21426391601562,,218.72685179512212,218.39224202211986,0.33460977300225636,0.15856670583526516
2024-08-05 00:00:00-04:00,198.85982239251607,213.25316621507156,195.7733984925247,209.02806091308594,119548600,0.0,0.0,217.4223388671875,,217.2347301209627,217.69859897700624,-0.4638688560435469,0.03407959345950276
2024-08-06 00:00:00-04:00,205.06264094927153,209.7472209414639,200.8375358240923,206.9904022216797,69660500,0.0,0.0,215.1110107421875,,215.65867967491917,216.90539921735243,-1.2467195424332544,-0.22208023371904867
2024-08-07 00:00:00-04:00,206.66078565300305,213.3929986622491,206.15138077832643,209.57742309570312,63516400,0.0,0.0,212.66184692382814,,214.72310173965516,216.36258617130432,-1.6394844316491515,-0.5055610733050693
2024-08-08 00:00:00-04:00,212.86361928255258,213.95235545083946,208.5885687073719,213.06338500976562,47161100,0.0,0.0,211.65301513671875,,214.46776070428754,216.11820090007922,-1.6504401957916741,-0.7345368978023903
2024-08-09 00:00:00-04:00,211.85479245119006,216.5293744807485,211.72493786998632,215.99000549316406,42201600,0.0,0.0,210.9298553466797,,214.70195221026853,216.10870494401144,-1.4067527337429055,-0.8689800649904933
